Ultimo,Abertura,Maxima,Minima,Ultimo_2,Abertura_2,Maxima_2,Minima_2,Ultimo_3,Abertura_3,Maxima_3,Minima_3,Dia_seguinte
0.9989,0.9991,0.9999,0.9985,0.9988,0.9989,1.0000,0.9985,0.9991,0.9988,1.0000,0.9985,0.9990
0.9988,0.9989,1.0000,0.9985,0.9991,0.9988,1.0000,0.9985,0.9990,0.9991,1.0005,0.9987,0.9993
0.9991,0.9988,1.0000,0.9985,0.9990,0.9991,1.0005,0.9987,0.9993,0.9988,1.0003,0.9988,0.9991
0.9990,0.9991,1.0005,0.9987,0.9993,0.9988,1.0003,0.9988,0.9991,0.9993,1.0004,0.9984,0.9996
0.9993,0.9988,1.0003,0.9988,0.9991,0.9993,1.0004,0.9984,0.9996,0.9991,1.0007,0.9978,0.9993
0.9991,0.9993,1.0004,0.9984,0.9996,0.9991,1.0007,0.9978,0.9993,0.9996,1.0011,0.9989,0.9987
0.9996,0.9991,1.0007,0.9978,0.9993,0.9996,1.0011,0.9989,0.9987,0.9993,1.0003,0.9983,0.9986
0.9993,0.9996,1.0011,0.9989,0.9987,0.9993,1.0003,0.9983,0.9986,0.9986,1.0007,0.9982,0.9990
0.9987,0.9993,1.0003,0.9983,0.9986,0.9986,1.0007,0.9982,0.9990,0.9986,0.9994,0.9961,1.0000
0.9986,0.9986,1.0007,0.9982,0.9990,0.9986,0.9994,0.9961,1.0000,0.9990,1.0009,0.9980,0.9998
0.9990,0.9986,0.9994,0.9961,1.0000,0.9990,1.0009,0.9980,0.9998,1.0000,1.0018,0.9996,1.0008
1.0000,0.9990,1.0009,0.9980,0.9998,1.0000,1.0018,0.9996,1.0008,0.9998,1.0014,0.9997,1.0010
0.9998,1.0000,1.0018,0.9996,1.0008,0.9998,1.0014,0.9997,1.0010,1.0008,1.0020,1.0005,1.0006
1.0008,0.9998,1.0014,0.9997,1.0010,1.0008,1.0020,1.0005,1.0006,1.0010,1.0022,0.9999,1.0006
1.0010,1.0008,1.0020,1.0005,1.0006,1.0010,1.0022,0.9999,1.0006,1.0006,1.0015,1.0002,1.0014
1.0006,1.0010,1.0022,0.9999,1.0006,1.0006,1.0015,1.0002,1.0014,1.0006,1.0018,1.0002,1.0021
1.0006,1.0006,1.0015,1.0002,1.0014,1.0006,1.0018,1.0002,1.0021,1.0014,1.0027,1.0006,1.0013
1.0014,1.0006,1.0018,1.0002,1.0021,1.0014,1.0027,1.0006,1.0013,1.0021,1.0026,1.0007,0.9989
1.0021,1.0014,1.0027,1.0006,1.0013,1.0021,1.0026,1.0007,0.9989,1.0013,1.0017,0.9985,1.0005
1.0013,1.0021,1.0026,1.0007,0.9989,1.0013,1.0017,0.9985,1.0005,0.9989,1.0014,0.9984,0.9998
0.9989,1.0013,1.0017,0.9985,1.0005,0.9989,1.0014,0.9984,0.9998,1.0005,1.0012,0.9995,0.9996
1.0005,0.9989,1.0014,0.9984,0.9998,1.0005,1.0012,0.9995,0.9996,0.9998,1.0001,0.9990,0.9989
0.9998,1.0005,1.0012,0.9995,0.9996,0.9998,1.0001,0.9990,0.9989,0.9996,1.0002,0.9989,1.0005
0.9996,0.9998,1.0001,0.9990,0.9989,0.9996,1.0002,0.9989,1.0005,0.9989,1.0007,0.9982,1.0009
0.9989,0.9996,1.0002,0.9989,1.0005,0.9989,1.0007,0.9982,1.0009,1.0005,1.0023,1.0000,1.0011
1.0005,0.9989,1.0007,0.9982,1.0009,1.0005,1.0023,1.0000,1.0011,1.0009,1.0020,0.9993,1.0022
1.0009,1.0005,1.0023,1.0000,1.0011,1.0009,1.0020,0.9993,1.0022,1.0011,1.0024,1.0009,1.0016
1.0011,1.0009,1.0020,0.9993,1.0022,1.0011,1.0024,1.0009,1.0016,1.0022,1.0043,1.0012,1.0019
1.0022,1.0011,1.0024,1.0009,1.0016,1.0022,1.0043,1.0012,1.0019,1.0016,1.0032,1.0012,1.0011
1.0016,1.0022,1.0043,1.0012,1.0019,1.0016,1.0032,1.0012,1.0011,1.0019,1.0030,0.9998,1.0032
1.0019,1.0016,1.0032,1.0012,1.0011,1.0019,1.0030,0.9998,1.0032,1.0011,1.0036,1.0011,1.0037
1.0011,1.0019,1.0030,0.9998,1.0032,1.0011,1.0036,1.0011,1.0037,1.0032,1.0075,1.0028,1.0035
1.0032,1.0011,1.0036,1.0011,1.0037,1.0032,1.0075,1.0028,1.0035,1.0037,1.0042,1.0025,1.0027
1.0037,1.0032,1.0075,1.0028,1.0035,1.0037,1.0042,1.0025,1.0027,1.0035,1.0046,1.0023,1.0011
1.0035,1.0037,1.0042,1.0025,1.0027,1.0035,1.0046,1.0023,1.0011,1.0027,1.0036,1.0005,1.0009
1.0027,1.0035,1.0046,1.0023,1.0011,1.0027,1.0036,1.0005,1.0009,1.0011,1.0022,1.0006,1.0010
1.0011,1.0027,1.0036,1.0005,1.0009,1.0011,1.0022,1.0006,1.0010,1.0009,1.0017,0.9985,0.9999
1.0009,1.0011,1.0022,1.0006,1.0010,1.0009,1.0017,0.9985,0.9999,1.0010,1.0015,0.9998,0.9991
1.0010,1.0009,1.0017,0.9985,0.9999,1.0010,1.0015,0.9998,0.9991,0.9999,1.0017,0.9980,1.0010
0.9999,1.0010,1.0015,0.9998,0.9991,0.9999,1.0017,0.9980,1.0010,0.9991,1.0015,0.9985,1.0007
0.9991,0.9999,1.0017,0.9980,1.0010,0.9991,1.0015,0.9985,1.0007,1.0010,1.0012,0.9997,1.0008
1.0010,0.9991,1.0015,0.9985,1.0007,1.0010,1.0012,0.9997,1.0008,1.0007,1.0020,0.9999,1.0005
1.0007,1.0010,1.0012,0.9997,1.0008,1.0007,1.0020,0.9999,1.0005,1.0008,1.0013,0.9999,1.0004
1.0008,1.0007,1.0020,0.9999,1.0005,1.0008,1.0013,0.9999,1.0004,1.0005,1.0013,0.9996,1.0007
1.0005,1.0008,1.0013,0.9999,1.0004,1.0005,1.0013,0.9996,1.0007,1.0004,1.0021,1.0000,1.0000
1.0004,1.0005,1.0013,0.9996,1.0007,1.0004,1.0021,1.0000,1.0000,1.0007,1.0029,0.9991,1.0013
1.0007,1.0004,1.0021,1.0000,1.0000,1.0007,1.0029,0.9991,1.0013,1.0000,1.0024,0.9997,1.0013
1.0000,1.0007,1.0029,0.9991,1.0013,1.0000,1.0024,0.9997,1.0013,1.0013,1.0033,1.0007,1.0018
1.0013,1.0000,1.0024,0.9997,1.0013,1.0013,1.0033,1.0007,1.0018,1.0014,1.0027,1.0005,1.0008
1.0013,1.0013,1.0033,1.0007,1.0018,1.0014,1.0027,1.0005,1.0008,1.0018,1.0020,1.0002,1.0007
1.0018,1.0014,1.0027,1.0005,1.0008,1.0018,1.0020,1.0002,1.0007,1.0008,1.0034,1.0002,1.0015
1.0008,1.0018,1.0020,1.0002,1.0007,1.0008,1.0034,1.0002,1.0015,1.0007,1.0024,1.0006,1.0016
1.0007,1.0008,1.0034,1.0002,1.0015,1.0007,1.0024,1.0006,1.0016,1.0015,1.0029,1.0012,1.0030
1.0015,1.0007,1.0024,1.0006,1.0016,1.0015,1.0029,1.0012,1.0030,1.0016,1.0039,1.0012,1.0026
1.0016,1.0015,1.0029,1.0012,1.0030,1.0016,1.0039,1.0012,1.0026,1.0030,1.0042,1.0016,1.0020
1.0030,1.0016,1.0039,1.0012,1.0026,1.0030,1.0042,1.0016,1.0020,1.0026,1.0030,1.0012,1.0024
1.0026,1.0030,1.0042,1.0016,1.0020,1.0026,1.0030,1.0012,1.0024,1.0020,1.0048,1.0017,1.0021
1.0020,1.0026,1.0030,1.0012,1.0024,1.0020,1.0048,1.0017,1.0021,1.0024,1.0033,1.0013,1.0018
